idx,image_path,gt_answer,pass_count,runs,pass_rate,keep,cod_preview,predictions_preview
0,./geothought_images/geothought_00000.jpg,145,5,5,1.0,True,"\angle 1 \text{ and } \angle 2 \text{ on line } AB \implies \angle 1 + \angle 2 = 180^\circ
\angle 1 = 35.0^\circ \implies \angle 2 = 180^\circ - \angle 1 = 180^\circ - 35.0^\circ = 145^\circ",145.0 || 145.0 || 145.0
1,./geothought_images/geothought_00001.jpg,75,5,5,1.0,True,"AD = BD \implies \angle BAD = \angle ABD
Let \angle BAD = x; \angle CAD = 0.4x
\angle C = 90^\circ
\angle CAB = \angle CAD + \angle BAD = 0.4x + x = 1.4x
\angle B = \angle BAD = x
1.4x + x + 90^\circ ",75 || 75 || 75°
2,./geothought_images/geothought_00002.jpg,80,5,5,1.0,True,"\triangle ABC \text{ is equilateral} \implies \angle BAC = 60^\circ
l_1 \parallel l_2, \angle 1 = 40^\circ \implies \angle(l_2, AB) = 40^\circ
\angle 2 = 180^\circ - \angle BAC - \angle(l_2, AB) = 180",80° || 80° || 80°
3,./geothought_images/geothought_00003.jpg,70,5,5,1.0,True,"BD \perp AC \land AD = DC \implies \angle ADB = \angle CDB = 90^\circ
AD = DC \land \angle ADB = \angle CDB = 90^\circ \land BD = BD \implies \triangle ABD \cong \triangle CBD
\triangle ABD \cong \tri",70 || 70° || 70°
4,./geothought_images/geothought_00004.jpg,80,5,5,1.0,True,"\angle B = 20^\circ, \angle C = 30^\circ \implies \angle BAC = 180^\circ - \angle B - \angle C = 130^\circ
MP \perp AB \land MP \text{ is the perpendicular bisector of } AB \implies PA = PB
QN \perp A",80° || 80° || 80°
5,./geothought_images/geothought_00005.jpg,109,5,5,1.0,True,"\triangle ABC: A = 52^\circ, \angle ACB = 90^\circ ⇒ \angle B = 180^\circ − 52^\circ − 90^\circ = 38^\circ
BD = BC (radii of circle with center B) ⇒ \triangle BCD \text{ isosceles with } \angle BDC = ",109° || 109° || 109°
6,./geothought_images/geothought_00006.jpg,110,5,5,1.0,True,"AB = AC \implies \angle ABC = \angle ACB
\angle BAC = 100^\circ \implies \angle ABC + \angle ACB = 180^\circ - 100^\circ = 80^\circ
\angle ABC = \angle ACB \implies \angle ABC = \angle ACB = \frac{80^",110 || 110 || 110
7,./geothought_images/geothought_00007.jpg,36,5,5,1.0,True,"BA = BC \implies \angle BAC = \angle BCA
DE \text{ is the perpendicular bisector of } AB \Rightarrow AD = BD
AD = BD \Rightarrow \angle BAD = \angle ABD
AD \text{ bisects } \angle BAC \Rightarrow \ang",36 || 36 || 36
8,./geothought_images/geothought_00008.jpg,50,5,5,1.0,True,"BD = BC \implies △BCD \text{ isosceles} \implies \angle BCD = \angle BDC
\angle ACB = 90^\circ, \angle ACD = 20^\circ, \angle ACB = \angle ACD + \angle BCD \implies \angle BCD = 90^\circ - 20^\circ = ",50° || 50° || 50°
9,./geothought_images/geothought_00009.jpg,65,5,5,1.0,True,"AB = AC \implies \angle B = \angle C
\angle B = \angle C \land \angle B = 25^\circ \implies \angle C = 25^\circ
\angle BAC = 180^\circ - \angle B - \angle C = 180^\circ - 25^\circ - 25^\circ = 130^\ci",65° || 65° || 65°
