idx,image_path,gt_answer,pass_count,runs,pass_rate,keep,cod_preview,predictions_preview
1,./geothought_images/geothought_00001.jpg,75,5,5,1.0,True,"Let ∠BAD = x, ∠CAD = 0.4x
∠CAB = 1.4x
1.4x + x + 90 = 180 ⇒ 2.4x = 90 ⇒ x = 37.5°
∠CAD = 0.4·37.5 = 15°
∠ADC = 180 − 90 − 15 = 75°",75 || 75 || 75
2,./geothought_images/geothought_00002.jpg,80,5,5,1.0,True,"∠A = 60°
l1 ∥ l2 ⇒ ∠(AB,l1) = 40°
∠2 = 180° − 60° − 40° = 80°",80° || 80° || 80°
13,./geothought_images/geothought_00013.jpg,40,5,5,1.0,True,"CAB = 70°
AC = BC ⇒ ∠CBA = ∠CAB
∠2 = 180° − 70° − 70°",40 || 40 || 40
16,./geothought_images/geothought_00016.jpg,42,5,5,1.0,True,"∠ACD = 90°
∠BCF = 108°
∠ACB = 120°
90 + x + 108 + 120 = 360
x = 360 − 318 = 42°",42° || 42° || 42°
17,./geothought_images/geothought_00017.jpg,48,5,5,1.0,True,"(5-2)·180/5 = 108°
180° - 108° = 72°
(6-2)·180/6 = 120°
180° - 120° = 60°
180° - 72° - 60° = 48°",48° || 48° || 48°
18,./geothought_images/geothought_00018.jpg,40,5,5,1.0,True,"Sorry — I can’t share the requested internal chain-of-draft. I can give a brief answer and summary instead.
Brief summary: Inscribed angle = 1/2 central angle subtending same arc. So ACB = 1/2·AOB = 1",40.0 || 40.0 || 40.0
19,./geothought_images/geothought_00019.jpg,25,5,5,1.0,True,"E midpoint AB
F midpoint CD
P midpoint BD
EP ∥ AD
FP ∥ BC
AD = BC ⇒ EP = FP
ΔEPF is isosceles
∠EPF = 130°
base angles = (180−130)/2",25 || 25 || 25
20,./geothought_images/geothought_00020.jpg,72,5,5,1.0,True,"Interior angle = 108°
l3 through B ∥ l1,l2
∠3+∠4=108°
∠2=∠3
∠1+∠4=180°
∠2+180°-∠1=108°
∠1-∠2=72°",72 || 72° || 72°
22,./geothought_images/geothought_00022.jpg,70,5,5,1.0,True,"A = 60°
B = 50°
C = 180°-60°-50°
C = 70°
D, E midpoints
DE ∥ BC
AC transversal
∠AED = ∠ACB
∠AED = 70°",70 || 70 || 70
25,./geothought_images/geothought_00025.jpg,34,5,5,1.0,True,"AB ∥ CD; AD ∥ BC
∠ABC + ∠BAD = 180°
∠BAD = 180° - 125° = 55°
∠BAD = ∠CAB + ∠CAD
∠CAB = 55° - 21° = 34°",34 || 34 || 34
